"Iteration"	"posterior"	"NumSpeciation"	"numExtinction"	"numMassExtinctions"
15500	-1831.53659678525	1	1	4
15600	-1824.42420414998	2	1	2
15700	-1822.96068836296	1	1	2
15800	-1832.20393654935	2	1	3
15900	-1823.52291987473	1	1	2
16000	-1824.31798810418	1	1	2
16100	-1832.38704727468	1	1	2
16200	-1831.76518471829	1	1	4
16300	-1822.4765652134	1	1	1
16400	-1838.73277798348	1	1	4
16500	-1826.44678476293	2	1	1
16600	-1825.33289896406	1	1	3
16700	-1849.24442275336	1	1	6
16800	-1833.46323017874	1	1	3
16900	-1832.12339000476	2	1	3
17000	-1824.8947614931	1	1	2
17100	-1828.22331411469	1	2	2
17200	-1839.97727313715	1	2	4
17300	-1830.6507800492	2	1	3
17400	-1831.40944017564	2	1	3
17500	-1820.71235957114	2	1	1
17600	-1837.90787388387	1	4	1
17700	-1830.87156094927	1	1	4
17800	-1827.06082668146	1	1	3
17900	-1840.20289218639	1	1	5
18000	-1821.43741907392	1	1	2
18100	-1827.80618817146	2	1	3
18200	-1848.59487087307	2	1	6
18300	-1830.84205781593	1	1	4
18400	-1821.95000606461	1	1	2
18500	-1820.47833186412	1	1	2
18600	-1826.36806998768	1	1	2
18700	-1836.97545691006	4	1	2
18800	-1838.76408828354	3	1	4
18900	-1826.06291519568	2	1	2
19000	-1822.69157294212	1	1	2
19100	-1822.5681914225	2	1	1
19200	-1822.67516386168	1	1	1
19300	-1821.9537287895	1	1	2
19400	-1829.34214678826	1	1	4
19500	-1835.29490207688	2	1	4
19600	-1825.64348879202	1	1	3
19700	-1837.17172479093	1	1	5
19800	-1837.18410338833	1	1	5
19900	-1827.15311832774	1	1	3
20000	-1824.35622828527	1	1	2
20100	-1832.09264675354	1	1	4
20200	-1822.10781793011	1	1	1
20300	-1824.83207151142	2	1	1
20400	-1840.07967261507	5	1	2
20500	-1847.72563837969	2	1	6
20600	-1849.32359546911	2	2	5
20700	-1835.12100216731	1	1	4
20800	-1824.18310228003	1	1	2
20900	-1826.09465113334	2	1	2
21000	-1830.87818812541	2	1	2
21100	-1823.7462599909	1	1	1
21200	-1823.75528247089	1	1	2
21300	-1823.49617482536	1	1	2
21400	-1851.92904375242	5	1	4
21500	-1831.15136109762	2	1	3
21600	-1827.20945065613	1	1	3
21700	-1844.18238506204	3	1	5
21800	-1830.89428326689	1	1	4
21900	-1843.93704557455	1	2	4
22000	-1825.12675304992	1	1	2
22100	-1826.19867547979	1	1	2
22200	-1830.92847828244	1	1	3
22300	-1831.02456672612	3	1	1
22400	-1824.02473580386	2	1	2
22500	-1824.2699820996	1	1	2
22600	-1828.73438693631	2	2	2
22700	-1830.52737676461	1	2	3
22800	-1823.54236466281	1	2	1
22900	-1829.30657525947	2	2	2
23000	-1829.75443827559	1	2	2
23100	-1829.44826624972	3	2	1
23200	-1834.57325987492	2	1	3
23300	-1839.74533104742	1	1	5
23400	-1833.3701288504	1	1	4
23500	-1831.53740968881	1	1	4
23600	-1825.32368688732	1	1	3
23700	-1822.6491811479	1	1	2
23800	-1828.19447875725	1	1	3
23900	-1830.33571687062	2	1	3
24000	-1835.48447132528	1	1	4
24100	-1836.51074433341	3	1	3
24200	-1827.82417358262	2	1	2
24300	-1824.99529633153	1	1	3
24400	-1827.99248413477	1	1	4
24500	-1842.15769262518	4	1	3
24600	-1829.84257209607	4	1	1
24700	-1822.12232648505	1	1	2
24800	-1826.91158231417	1	1	2
24900	-1829.60029175637	2	1	2
25000	-1834.53310562094	3	1	2
25100	-1830.17543147606	2	1	2
25200	-1827.34673118819	2	1	2
25300	-1826.17522132771	1	1	2
25400	-1821.99568344338	1	1	1
25500	-1825.4059110072	1	1	2
25600	-1825.06216161077	2	1	2
25700	-1825.79865408122	1	1	2
25800	-1829.76042027617	1	1	3
25900	-1845.63583193727	3	1	4
26000	-1848.0034623153	2	1	5
26100	-1829.38974615912	3	1	2
26200	-1843.60519154404	3	1	4
26300	-1828.0652362697	1	1	2
26400	-1827.23868228515	2	1	3
26500	-1826.16507641134	3	1	2
26600	-1826.19950926641	3	1	2
26700	-1828.13993473823	1	1	3
26800	-1855.93493831063	2	1	7
26900	-1818.62899791444	1	1	1
27000	-1824.84099753045	1	1	2
27100	-1842.60586117319	4	1	4
27200	-1840.5892685134	2	2	3
27300	-1840.14012773485	2	1	4
27400	-1835.77062433459	1	1	5
27500	-1824.87910530524	1	1	2
27600	-1829.29134426743	3	1	1
27700	-1820.06579195204	1	1	1
27800	-1834.40513224657	1	1	4
27900	-1839.40308231529	1	1	6
28000	-1847.5500252177	2	1	6
28100	-1836.01254815974	2	1	4
28200	-1840.4442499534	4	1	2
28300	-1829.08641346568	2	1	2
28400	-1839.66164666051	2	1	5
28500	-1829.5878392679	2	1	2
28600	-1836.50614608436	4	1	1
28700	-1832.99191873858	2	1	3
28800	-1826.63221762636	2	1	1
28900	-1839.16734234417	3	1	4
29000	-1828.95702051414	1	1	3
29100	-1821.335167264	1	1	2
29200	-1844.41403796389	2	2	4
29300	-1850.00269121277	1	1	6
29400	-1826.60984578992	1	1	2
29500	-1824.62643873554	1	1	3
29600	-1821.10753527005	1	1	1
29700	-1841.16588454306	1	1	5
29800	-1853.54250423433	1	1	7
29900	-1836.44847795656	2	1	3
30000	-1835.85671742138	1	1	3
30100	-1828.86408572874	2	1	2
30200	-1823.72858701061	1	1	2
30300	-1835.06731722955	3	1	3
30400	-1823.38566833198	1	1	3
30500	-1825.6578886948	1	1	3
30600	-1832.28049080634	1	1	4
30700	-1826.91810750514	1	1	3
30800	-1829.78957032589	1	1	4
30900	-1842.5304159275	3	1	4
31000	-1830.6494680372	2	1	3
31100	-1838.79191536556	1	1	5
31200	-1833.06924671664	1	1	4
31300	-1837.076782336	2	1	4
31400	-1825.71821238784	1	1	3
31500	-1829.80367953535	1	1	4
31600	-1825.37737916567	1	1	2
31700	-1832.48481099284	1	1	3
31800	-1825.71906320268	2	1	2
31900	-1833.55985066593	3	1	2
32000	-1844.77464086859	3	1	5
32100	-1841.92164050569	3	1	4
32200	-1831.38398544162	1	1	4
32300	-1853.9792981548	3	1	6
32400	-1831.57652210481	1	1	3
32500	-1833.08922960531	1	1	5
32600	-1841.60492952784	3	1	4
32700	-1827.76674049349	1	1	4
32800	-1822.52101994376	1	1	2
32900	-1830.76791915265	1	1	3
33000	-1828.93704490867	1	1	3
33100	-1832.92361796855	2	1	3
33200	-1820.74090427934	1	1	1
33300	-1838.08362998054	4	1	2
33400	-1841.68058865486	3	1	4
